time,icao,operation,airport,registration,flight,ac_type,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
2024-07-01 18:52:36,a2c56d,takeoff,KRAP,N278NN,ENY3534,E75L,32,https://globe.adsbexchange.com/?icao=a2c56d&zoom=13.5&showTrace=2024-07-01&timestamp=1719859956,3256.0,adsb_icao,A3,2019.0,EMBRAER S A,ERJ 170-200 LR,AMERICAN AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 18:54:07,ac0bc4,landing,KRAP,N87531,UAL2297,B738,32,https://globe.adsbexchange.com/?icao=ac0bc4&zoom=13.5&showTrace=2024-07-01&timestamp=1719860047,5102.0,adsb_icao,A3,2011.0,BOEING,737-824,UNITED AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 18:56:24,ad2160,takeoff,KRAP,N945SW,SKW5890,CRJ2,32,https://globe.adsbexchange.com/?icao=ad2160&zoom=13.5&showTrace=2024-07-01&timestamp=1719860184,51.0,adsb_icao,A2,2003.0,BOMBARDIER INC,CL-600-2B19,SKYWEST AIRLINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:08:08,a83aea,landing,KRAP,N6296V,N6296V,BE35,32,https://globe.adsbexchange.com/?icao=a83aea&zoom=13.5&showTrace=2024-07-01&timestamp=1719860888,1200.0,adsb_icao,A1,1967.0,BEECH,V35A,"FOLLIS CHAD, FOLLIS ANGIE",f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:15:16,a57228,landing,KRAP,N450AM,N450AM,B407,,https://globe.adsbexchange.com/?icao=a57228&zoom=13.5&showTrace=2024-07-01&timestamp=1719861316,1200.0,adsb_icao,A7,2013.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:18:47,a97a99,landing,KRAP,N71KD,OPN71,SF50,32,https://globe.adsbexchange.com/?icao=a97a99&zoom=13.5&showTrace=2024-07-01&timestamp=1719861527,6207.0,adsb_icao,A1,2023.0,CIRRUS DESIGN CORP,SF50,"VISION71 LLC, HOLD FAST AVIATION LLC",f,f,L1J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:21:09,c001ed,takeoff,KRAP,C-FASY,ASP489,C25B,32,https://globe.adsbexchange.com/?icao=c001ed&zoom=13.5&showTrace=2024-07-01&timestamp=1719861669,3270.0,adsb_icao,A1,2016.0,Textron Aviation Inc.,525B,Airsprint Inc.,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:39:34,a57228,takeoff,KRAP,N450AM,N450AM,B407,,https://globe.adsbexchange.com/?icao=a57228&zoom=13.5&showTrace=2024-07-01&timestamp=1719862774,1200.0,adsb_icao,A7,2013.0,BELL HELICOPTER TEXTRON CANADA,407,AIR METHODS LLC,f,f,H1T,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:42:39,a33e5e,landing,KRAP,N308PQ,EDV5041,CRJ9,32,https://globe.adsbexchange.com/?icao=a33e5e&zoom=13.5&showTrace=2024-07-01&timestamp=1719862959,656.0,adsb_icao,A3,2014.0,BOMBARDIER INC,CL-600-2D24,DELTA AIR LINES INC,f,f,L2J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:45:09,a97a99,takeoff,KRAP,N71KD,OPN71,SF50,32,https://globe.adsbexchange.com/?icao=a97a99&zoom=13.5&showTrace=2024-07-01&timestamp=1719863109,2774.0,adsb_icao,A1,2023.0,CIRRUS DESIGN CORP,SF50,"VISION71 LLC, HOLD FAST AVIATION LLC",f,f,L1J,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
2024-07-01 19:51:26,a56433,landing,KRAP,N44669,N44669,P28A,,https://globe.adsbexchange.com/?icao=a56433&zoom=13.5&showTrace=2024-07-01&timestamp=1719863486,1200.0,adsb_icao,A1,1974.0,PIPER,PA-28-151,PLANE TRAINING LLC,f,f,L1P,f,medium_airport,Rapid City Regional Airport,,US,US-SD,,yes,RAP,3204
