time,operation,flight,ac_type,runway
2025-05-01 03:09:59,landing,DAL2145,A321,27
2025-05-01 03:11:13,takeoff,SWA2853,B38M,27
2025-05-01 03:12:18,takeoff,SWA1372,B737,27
2025-05-01 03:13:15,takeoff,SKW3104,E75L,27
2025-05-01 03:15:07,landing,SKW3377,E75L,27
2025-05-01 03:16:32,landing,SWA2927,B38M,27
2025-05-01 03:17:10,takeoff,EJM189,CL30,27
2025-05-01 03:18:44,landing,SKW3384,E75L,27
2025-05-01 03:20:04,landing,ASA854,B739,27
2025-05-01 03:21:00,takeoff,ASA1199,B39M,27
2025-05-01 03:22:05,landing,UAL1373,B39M,27
2025-05-01 03:23:32,landing,UAL2633,B38M,27
2025-05-01 03:25:08,landing,ASA899,B738,27
2025-05-01 03:26:03,takeoff,SWA2445,B737,27
2025-05-01 03:27:12,landing,SKW3388,E75L,27
2025-05-01 03:28:42,landing,DAL571,A21N,27
2025-05-01 03:30:02,landing,SWA448,B38M,27
2025-05-01 03:31:24,takeoff,SWA4787,B38M,27
2025-05-01 03:32:43,landing,SKW3489,E75L,27
2025-05-01 03:33:50,takeoff,QXE2155,E75L,27
2025-05-01 03:35:02,landing,ASA1098,B739,27
2025-05-01 03:35:55,takeoff,FDX1839,B752,27
2025-05-01 03:36:53,landing,SWA756,B738,27
2025-05-01 03:38:08,takeoff,SWA3392,B737,27
2025-05-01 03:39:34,landing,NKS379,A320,27
2025-05-01 03:43:27,takeoff,JBU2120,A321,27
2025-05-01 03:44:47,takeoff,SKW5636,E75L,27
2025-05-01 03:50:10,landing,AAL2056,A321,27
2025-05-01 03:52:37,takeoff,SWA4438,B737,27
2025-05-01 03:58:37,landing,SKW3455,E75L,27
2025-05-01 04:00:52,landing,HAL58,A21N,27
2025-05-01 04:03:00,landing,SWA4173,B737,27
2025-05-01 04:04:07,takeoff,SWA3204,B38M,27
2025-05-01 04:07:41,landing,UAL2674,B739,27
2025-05-01 04:10:26,takeoff,JBU1190,A21N,27
2025-05-01 04:12:00,landing,SWA4586,B737,27
2025-05-01 04:15:07,takeoff,SWA3566,B737,27
2025-05-01 04:19:30,landing,AAL559,A321,27
2025-05-01 04:20:43,takeoff,SKW3106,E75L,27
2025-05-01 04:22:18,landing,JZA768,CRJ7,27
2025-05-01 04:24:19,takeoff,SWA4376,B738,27
2025-05-01 04:27:05,landing,SWA4236,B737,27
2025-05-01 04:29:52,takeoff,SWA2356,B38M,27
2025-05-01 04:31:17,takeoff,SKW3392,E75L,27
2025-05-01 04:33:00,takeoff,SKW3349,E75L,27
2025-05-01 04:35:23,takeoff,SKW3427,E75L,27
2025-05-01 04:37:22,takeoff,NKS384,A320,27
2025-05-01 04:39:12,landing,ASA297,B739,27
2025-05-01 04:40:39,takeoff,SKW850X,E75L,27
2025-05-01 04:42:14,landing,AAL1497,A321,27
2025-05-01 04:44:20,takeoff,SKW3334,E75L,27
2025-05-01 04:45:48,takeoff,UAL2129,B39M,27
2025-05-01 04:54:18,landing,HAL16,A332,27
2025-05-01 04:55:52,takeoff,ASA1020,B739,27
2025-05-01 04:56:37,landing,DAL2672,B738,27
2025-05-01 04:58:07,takeoff,AAL3022,A321,27
2025-05-01 04:59:10,landing,SWA1515,B737,27
2025-05-01 05:00:18,takeoff,DAL1616,A21N,27
2025-05-01 05:01:28,landing,SWA1328,B737,27
2025-05-01 05:04:26,landing,DAL748,A321,27
2025-05-01 05:06:19,landing,UAL1074,B38M,27
2025-05-01 05:08:43,landing,SWA3888,B738,27
2025-05-01 05:10:05,takeoff,UAL2352,B38M,27
2025-05-01 05:15:39,takeoff,DAL709,A21N,27
2025-05-01 05:17:10,landing,SWA2380,B737,27
2025-05-01 05:18:41,takeoff,DAL764,A321,27
2025-05-01 05:22:33,takeoff,SKW3302,E75L,27
2025-05-01 05:23:48,landing,SWA3660,B38M,27
2025-05-01 05:25:56,landing,ASA1156,B738,27
2025-05-01 05:28:46,landing,DAL700,A321,27
2025-05-01 05:30:56,landing,UAL1835,B738,27
2025-05-01 05:32:36,landing,SKW3746,E75L,27
2025-05-01 05:34:26,landing,AAL2578,A21N,27
2025-05-01 05:35:59,landing,SWA4150,B737,27
2025-05-01 05:36:49,takeoff,SWA4150,B737,27
2025-05-01 05:37:34,takeoff,AAL2808,A21N,27
2025-05-01 05:39:02,takeoff,UAL1827,B752,27
2025-05-01 05:41:31,landing,DAL369,A321,27
2025-05-01 05:42:50,takeoff,AAL2065,A321,27
2025-05-01 05:44:03,landing,SWA3219,B38M,27
2025-05-01 05:47:44,landing,SWA1170,B737,27
2025-05-01 05:49:16,landing,UAL540,B39M,27
2025-05-01 05:51:21,landing,UAL2054,B772,27
2025-05-01 05:53:01,takeoff,DAL819,A321,27
2025-05-01 05:55:48,takeoff,ASA36,B739,27
2025-05-01 05:58:01,takeoff,AAL2056,A321,27
2025-05-01 06:01:09,takeoff,AAL3245,A321,27
2025-05-01 06:07:48,takeoff,VPCOR,GA7C,27
2025-05-01 06:10:15,landing,SWA103,B38M,27
2025-05-01 06:14:51,landing,SWA3420,B737,27
2025-05-01 06:24:24,landing,SWA3454,B737,27
2025-05-01 06:26:53,landing,DAL1202,A321,27
2025-05-01 06:29:12,landing,UAL2718,B739,27
2025-05-01 06:36:17,landing,FFT1465,A321,27
2025-05-01 06:38:30,landing,DAL685,A21N,27
2025-05-01 06:40:48,landing,SKW5612,E75L,27
2025-05-01 06:45:40,landing,FFT2711,A20N,27
2025-05-01 06:48:20,landing,ASA826,B738,27
2025-05-01 07:00:45,landing,AAL1861,A321,27
2025-05-01 07:12:24,landing,KFB236,GLF4,27
2025-05-01 07:21:14,landing,UAL475,B738,27
2025-05-01 07:26:52,landing,NKS385,A320,27
2025-05-01 11:08:25,landing,FDX1889,B752,27
2025-05-01 11:46:51,landing,UPS922,B763,27
2025-05-01 12:02:59,landing,FDX1754,B763,27
2025-05-01 13:30:53,takeoff,ASA1265,B739,27
2025-05-01 13:31:49,takeoff,AAL2535,A321,27
2025-05-01 13:32:28,takeoff,JZA763,CRJ7,27
2025-05-01 13:33:33,takeoff,UAL274,B738,27
2025-05-01 13:34:45,landing,FDX1422,B763,27
2025-05-01 13:36:02,takeoff,NKS378,A320,27
2025-05-01 13:36:51,takeoff,DAL1117,A321,27
2025-05-01 13:37:44,takeoff,UAL1986,B38M,27
2025-05-01 13:38:35,takeoff,SWA2629,B38M,27
2025-05-01 13:39:07,takeoff,SKW3470,E75L,27
2025-05-01 13:40:02,takeoff,UPS2929,B763,27
2025-05-01 13:41:19,takeoff,FFT1326,A321,27
2025-05-01 13:41:58,takeoff,N7426,CL35,27
2025-05-01 13:42:46,takeoff,SKW4723,E75L,27
2025-05-01 13:43:45,takeoff,DAL729,A321,27
2025-05-01 13:44:56,takeoff,DAL2134,A321,27
2025-05-01 13:46:28,takeoff,FFT2818,A20N,27
2025-05-01 13:47:43,landing,SWA555,B737,27
2025-05-01 13:48:58,takeoff,SWA1202,B737,27
2025-05-01 13:50:25,takeoff,SWA1170,B38M,27
2025-05-01 13:51:30,takeoff,AAL518,A321,27
2025-05-01 13:52:53,landing,SKW3399,E75L,27
2025-05-01 13:54:04,takeoff,SWA1169,B737,27
2025-05-01 13:55:15,takeoff,AAL2955,A21N,27
2025-05-01 13:56:04,takeoff,SKW3743,E75L,27
2025-05-01 13:57:28,takeoff,SWA2313,B737,27
2025-05-01 13:58:33,takeoff,AAL625,A321,27
2025-05-01 14:00:00,takeoff,DAL367,A21N,27
2025-05-01 14:01:34,landing,SKW3415,E75L,27
2025-05-01 14:02:56,takeoff,SWA1306,B737,27
2025-05-01 14:03:46,landing,N96PB,C25B,27
2025-05-01 14:05:16,takeoff,SWA431,B737,27
2025-05-01 14:09:02,landing,NKS951,A320,27
2025-05-01 14:11:02,landing,FFT2083,A20N,27
2025-05-01 14:12:35,landing,LXJ546,CL35,27
2025-05-01 14:13:46,takeoff,SWA1436,B737,27
2025-05-01 14:14:48,landing,SKW3372,E75L,27
2025-05-01 14:15:53,takeoff,ASA1177,B739,27
2025-05-01 14:16:59,landing,SWA931,B737,27
